model,MAE,RMSE,WAPE_percent,RMSLE,Forecast_Bias,model_type
28-Day Mean,1.0577125850340134,2.490620158817921,89.83605373393037,0.5430604470985237,-0.0826190476190476,Baseline
CatBoost,1.0800296370792217,2.491464804911545,91.73153641522207,0.5428514466296878,-0.0754354515594201,Advanced ML
Weekday Mean,1.1036607142857142,2.573268604231554,93.73862487360972,0.5681994128096843,-0.0434523809523809,Baseline
LightGBM,1.103702749755908,2.4648565803697386,93.74219512588095,0.5508523169572761,-0.0026970629091834703,Advanced ML
XGBoost,1.1060976469339359,2.487586960131823,93.94560398629991,0.5506383291777872,-0.010143186574180922,Advanced ML
Last Value,1.2361904761904765,3.259783808198095,104.99494438827097,0.7077478170394897,-0.3673809523809523,Baseline
Seasonal Naive 28,1.3095238095238095,3.380511372981481,111.22345803842263,0.7141170501708984,-0.0826190476190476,Baseline
