store_id,item_id,model,MAE,RMSE,WAPE_percent
CA_1,HOBBIES_1_001,Last Value,0.8214285714285714,1.118033988749895,85.18518518518519
CA_1,HOBBIES_1_001,Seasonal Naive 28,1.1785714285714286,1.6146649364939023,122.22222222222223
CA_1,HOBBIES_1_001,28-Day Mean,0.8214285714285714,1.118033988749895,85.18518518518519
CA_1,HOBBIES_1_001,Weekday Mean,0.9464285714285714,1.2017472398850886,98.14814814814815
CA_1,HOBBIES_1_002,Last Value,0.9285714285714286,0.9636241116594315,1300.0
CA_1,HOBBIES_1_002,Seasonal Naive 28,0.39285714285714285,0.6267831705280087,550.0
CA_1,HOBBIES_1_002,28-Day Mean,0.34693877551020413,0.35892412932574613,485.7142857142858
CA_1,HOBBIES_1_002,Weekday Mean,0.29464285714285715,0.36596252735569995,412.5
CA_1,HOBBIES_1_003,Last Value,0.5714285714285714,0.8864052604279183,100.0
CA_1,HOBBIES_1_003,Seasonal Naive 28,0.8214285714285714,1.4516001023501126,143.75
CA_1,HOBBIES_1_003,28-Day Mean,0.6096938775510204,0.6785714285714286,106.69642857142858
CA_1,HOBBIES_1_003,Weekday Mean,0.5892857142857143,0.75,103.125
CA_1,HOBBIES_1_004,Last Value,4.25,4.57087050165033,233.33333333333334
CA_1,HOBBIES_1_004,Seasonal Naive 28,1.7857142857142858,2.2834810518779687,98.0392156862745
CA_1,HOBBIES_1_004,28-Day Mean,1.528061224489796,1.854049621773916,83.8935574229692
CA_1,HOBBIES_1_004,Weekday Mean,1.5357142857142858,1.8292025975427497,84.31372549019608
CA_1,HOBBIES_1_005,Last Value,1.3571428571428572,1.8516401995451028,100.0
CA_1,HOBBIES_1_005,Seasonal Naive 28,1.3928571428571428,1.8992479714726187,102.63157894736842
CA_1,HOBBIES_1_005,28-Day Mean,0.895408163265306,1.2842253283118004,65.97744360902254
CA_1,HOBBIES_1_005,Weekday Mean,1.0535714285714286,1.4134241603789208,77.63157894736842
CA_1,HOBBIES_1_006,Last Value,1.6785714285714286,1.7627089541790095,276.4705882352941
CA_1,HOBBIES_1_006,Seasonal Naive 28,1.4285714285714286,2.0354009783964297,235.29411764705884
CA_1,HOBBIES_1_006,28-Day Mean,1.0408163265306123,1.1904166651784969,171.42857142857144
CA_1,HOBBIES_1_006,Weekday Mean,1.0357142857142858,1.319496657279369,170.58823529411765
CA_1,HOBBIES_1_007,Last Value,0.39285714285714285,0.6813851438692469,100.0
CA_1,HOBBIES_1_007,Seasonal Naive 28,0.5357142857142857,0.823754471047914,136.36363636363635
CA_1,HOBBIES_1_007,28-Day Mean,0.5153061224489796,0.5578749768504754,131.16883116883116
CA_1,HOBBIES_1_007,Weekday Mean,0.5089285714285714,0.603190919787662,129.54545454545453
CA_1,HOBBIES_1_008,Last Value,8.142857142857142,13.065767704742257,100.0
CA_1,HOBBIES_1_008,Seasonal Naive 28,9.928571428571429,14.237776712474659,121.9298245614035
CA_1,HOBBIES_1_008,28-Day Mean,6.5153061224489806,10.669669007738426,80.01253132832082
CA_1,HOBBIES_1_008,Weekday Mean,7.705357142857143,10.29259442511945,94.62719298245614
CA_1,HOBBIES_1_009,Last Value,0.8928571428571429,1.9548474547720014,100.0
CA_1,HOBBIES_1_009,Seasonal Naive 28,1.2142857142857142,2.29906813420444,136.0
CA_1,HOBBIES_1_009,28-Day Mean,0.9846938775510206,1.8305095755342145,110.28571428571429
CA_1,HOBBIES_1_009,Weekday Mean,0.9910714285714286,1.9690688517309756,111.00000000000001
CA_1,HOBBIES_1_010,Last Value,0.6785714285714286,1.0856202966836188,100.0
CA_1,HOBBIES_1_010,Seasonal Naive 28,0.7857142857142857,1.224744871391589,115.78947368421053
CA_1,HOBBIES_1_010,28-Day Mean,0.7066326530612245,0.8942845732534939,104.13533834586465
CA_1,HOBBIES_1_010,Weekday Mean,0.6964285714285714,0.8724452500218649,102.63157894736842
CA_1,HOBBIES_1_011,Last Value,0.03571428571428571,0.1889822365046136,100.0
CA_1,HOBBIES_1_011,Seasonal Naive 28,0.10714285714285714,0.32732683535398854,300.0
CA_1,HOBBIES_1_011,28-Day Mean,0.16836734693877556,0.2142857142857143,471.42857142857156
CA_1,HOBBIES_1_011,Weekday Mean,0.16071428571428573,0.22160131510697959,450.0
CA_1,HOBBIES_1_012,Last Value,0.17857142857142858,0.4225771273642583,100.0
CA_1,HOBBIES_1_012,Seasonal Naive 28,0.32142857142857145,0.5669467095138409,180.0
CA_1,HOBBIES_1_012,28-Day Mean,0.27040816326530615,0.38465462908103604,151.42857142857144
CA_1,HOBBIES_1_012,Weekday Mean,0.30357142857142855,0.4406772385447524,170.0
CA_1,HOBBIES_1_013,Last Value,0.5,0.8451542547285166,100.0
CA_1,HOBBIES_1_013,Seasonal Naive 28,0.6071428571428571,0.9063269671749657,121.42857142857142
CA_1,HOBBIES_1_013,28-Day Mean,0.5688775510204082,0.7043958186898579,113.77551020408163
CA_1,HOBBIES_1_013,Weekday Mean,0.5625,0.7440238091428449,112.5
CA_1,HOBBIES_1_014,Last Value,2.5714285714285716,2.8284271247461903,171.42857142857142
CA_1,HOBBIES_1_014,Seasonal Naive 28,1.5714285714285714,2.1712405933672376,104.76190476190477
CA_1,HOBBIES_1_014,28-Day Mean,1.2244897959183676,1.4708043058552858,81.6326530612245
