model,MAE,RMSE,WAPE_percent,RMSLE,Forecast_Bias
28-Day Mean,1.0577125850340134,2.490620158817921,89.83605373393037,0.5430604470985237,-0.08261904761904765
Weekday Mean,1.1036607142857142,2.573268604231554,93.73862487360971,0.5681994128096843,-0.04345238095238095
Last Value,1.2361904761904763,3.259783808198095,104.99494438827097,0.7077478170394897,-0.36738095238095236
Seasonal Naive 28,1.3095238095238095,3.3805113729814815,111.22345803842263,0.7141170501708984,-0.08261904761904762
