abc_xyz_class,products,average_daily_forecast,average_stockout_probability,total_order_quantity
AY,35,2.778822668002161,27.416943024457908,8862
AZ,75,1.5517187118130533,27.79542125837222,14962
BX,3,0.15312412361868513,0.0,96
BY,3,3.3828273242444578,32.81316978671138,901
BZ,91,0.9378703672975763,30.185349526453592,15283
CX,2,0.16957177770223603,50.0,61
CZ,91,0.4205014868313739,22.936307408416482,12929
